#,,Active Symmetries per decision,,,,,
Test,Symmetries,SP OPT,SP REG,SA,SA-APPROX,Symmetry count,Symmetry usage
FPGA,,,,,,,
fpga10-11-uns-rcr.cnf,38,20.2 (4.16),20.2 (4.16),\textbf{21.5 (3.94)},\textbf{22.2 (3.48)},\textbf{20.6 (2.75)},19.9 (3.15)
fpga10-12-uns-rcr.cnf,41,21.1 (4.82),21.1 (4.82),\textbf{22.9 (3.27)},\textbf{23.1 (4.02)},\textbf{21.5 (6.16)},\textbf{21.2 (2.89)}
fpga10-13-uns-rcr.cnf,42,22.2 (5.71),22.2 (5.71),\textbf{23.0 (5.01)},\textbf{22.3 (5.03)},22.1 (2.49),22.1 (4.97)
fpga10-15-uns-rcr.cnf,46,24.5 (4.82),24.5 (4.82),\textbf{26.0 (6.41)},20.9 (9.11),\textbf{25.1 (3.57)},24.3 (4.75)
fpga10-20-uns-rcr.cnf,57,33.5 (8.81),33.5 (8.81),\textbf{35.0 (6.06)},32.7 (11.93),\textbf{33.6 (8.95)},32.3 (7.42)
fpga10-8-sat.cnf,22,10.6 (4.16),10.6 (4.16),9.8 (4.12),10.5 (4.80),5.4 (3.38),9.9 (4.04)
fpga10-9-sat.cnf,23,11.5 (4.72),11.5 (4.72),10.8 (4.60),\textbf{12.5 (4.90)},5.2 (3.25),\textbf{12.2 (4.35)}
fpga11-12-uns-rcr.cnf,,23.3 (3.74),23.3 (3.74),\textbf{24.1 (3.40)},\textbf{23.8 (4.08)},23.2 (2.72),22.3 (2.74)
fpga11-13-uns-rcr.cnf,44,24.0 (3.91),24.0 (3.91),22.9 (4.61),23.5 (5.01),23.8 (2.61),22.3 (2.94)
fpga11-14-uns-rcr.cnf,46,25.0 (5.00),25.0 (5.00),\textbf{26.6 (4.35)},\textbf{25.4 (6.19)},\textbf{25.6 (3.24)},24.6 (3.24)
fpga11-15-uns-rcr.cnf,49,26.9 (5.32),26.9 (5.32),\textbf{28.6 (4.49)},\textbf{29.1 (4.38)},26.4 (4.76),25.7 (2.97)
fpga11-20-uns-rcr.cnf,59,34.8 (7.13),34.8 (7.13),34.8 (5.94),\textbf{36.0 (5.84)},34.7 (5.35),33.9 (5.99)
fpga12-11-sat.cnf,29,16.6 (5.32),16.6 (5.32),15.1 (6.29),\textbf{17.5 (6.42)},10.5 (4.39),16.6 (6.44)
fpga12-12-sat.cnf,,20.1 (5.54),20.1 (5.54),\textbf{20.4 (5.62)},18.3 (5.58),12.5 (4.11),17.3 (5.89)
fpga12-8-sat.cnf,24,10.8 (4.73),10.8 (4.73),\textbf{11.8 (4.99)},7.3 (6.20),6.8 (3.30),10.7 (4.27)
fpga12-9-sat.cnf,25,12.1 (4.66),12.1 (4.66),12.1 (4.75),\textbf{12.8 (4.73)},6.2 (3.28),\textbf{12.6 (5.05)}
fpga13-10-sat.cnf,28,15.6 (5.95),15.6 (5.95),15.3 (5.76),14.8 (5.43),7.7 (3.29),\textbf{15.7 (6.18)}
fpga13-12-sat.cnf,32,21.4 (5.44),21.4 (5.44),20.8 (5.78),16.0 (7.99),7.7 (5.82),12.4 (7.59)
